000109 00000 00000 1 Donaustraﬂe                    DONA 000 01 0002 001 000 000
000109 00000 00000 1 Donaustraﬂe                    DONA 000 02 0002 001 000 000
000109 00000 00000 1 Donaustraﬂe                    DONA 000 03 0002 001 000 000
000109 00000 00000 1 Donaustraﬂe                    DONA 000 11 0002 001 000 000
000109 00000 00000 1 Donaustraﬂe                    DONA 000 12 0002 001 000 000
000109 00000 00000 1 Donaustraﬂe                    DONA 000 13 0001 001 000 000
000109 00000 00000 1 Donaustraﬂe                    DONA 000 14 0001 001 000 000
000110 00000 00000 1 Dorflage                       DORF 000 11 0001 001 000 000
000110 00000 00000 1 Dorflage                       DORF 000 12 0001 001 000 000
000111 00000 00000 1 Dreisch                        DREI 000 11 0001 001 000 000
000111 00000 00000 1 Dreisch                        DREI 000 12 0001 001 000 000
000112 00000 00000 1 Dresdenstraﬂe                  DRES 000 11 0001 001 000 000
000112 00000 00000 1 Dresdenstraﬂe                  DRES 000 12 0001 001 000 000
000113 00000 00000 1 Drosselweg                     DROS 000 11 0001 001 000 000
000113 00000 00000 1 Drosselweg                     DROS 000 12 0001 001 000 000
000114 00000 00000 1 Ebertallee                     EBER 000 11 0001 001 000 000
000114 00000 00000 1 Ebertallee                     EBER 000 12 0001 001 000 000
000115 00000 00000 1 Eckenerstraﬂe                  ECKE 000 11 0001 001 000 000
000115 00000 00000 1 Eckenerstraﬂe                  ECKE 000 12 0001 001 000 000
000115 00000 00000 1 Eckenerstraﬂe                  ECKE 000 13 0001 001 000 000
000115 00000 00000 1 Eckenerstraﬂe                  ECKE 000 14 0001 001 000 000
000116 00000 00000 1 Eichhahnweg                    EICH 000 11 0001 001 000 000
000116 00000 00000 1 Eichhahnweg                    EICH 000 12 0001 001 000 000
000117 00000 00000 1 Zum Zoll                       ZUZO 000 11 0001 001 000 000
000117 00000 00000 1 Zum Zoll                       ZUZO 000 12 0001 001 000 000
000118 00000 00000 1 Ellends Ruhe                   ELLE 000 11 0001 001 000 000
000118 00000 00000 1 Ellends Ruhe                   ELLE 000 12 0001 001 000 000
000119 00000 00000 1 Elmblick                       ELMB 000 11 0001 001 000 000
000119 00000 00000 1 Elmblick                       ELMB 000 12 0001 001 000 000
000120 00000 00000 1 Emma-Kraume-Straﬂe             EMKR 000 11 0001 001 000 000
000120 00000 00000 1 Emma-Kraume-Straﬂe             EMKR 000 12 0001 001 000 000
000121 00000 00000 1 Emsstraﬂe                      EMST 000 01 0001 001 000 000
000121 00000 00000 1 Emsstraﬂe                      EMST 000 02 0001 001 000 000
000121 00000 00000 1 Emsstraﬂe                      EMST 000 11 0001 001 000 000
000121 00000 00000 1 Emsstraﬂe                      EMST 000 12 0001 001 000 000
000122 00000 00000 1 Ekbertstraﬂe                   EKBE 000 11 0001 001 000 000
